response_id,main_branch,age,remote_work,ed_level,years_code,years_code_pro,dev_type,org_size,purchase_influence,buildvs_buy,country,currency,comp_total,so_visit_freq,so_account,so_part_freq,so_comm,ai_select,ai_sent,ai_acc,ai_complex,ai_threat,survey_length,survey_ease,converted_comp_yearly,r_used,r_want_to_use,main_branch_label,age_label,remote_work_label,ed_level_label,dev_type_label,org_size_label,purchase_influence_label,buildvs_buy_label,so_visit_freq_label,so_account_label,so_part_freq_label,so_comm_label,ai_select_label,ai_sent_label,ai_acc_label,ai_complex_label,ai_threat_label,survey_length_label,survey_ease_label
390,1,2,3,7,7,7,33,2,3,2,United States of America,"USD	United States dollar",110000.00,5,3,1,6,3,5,3,3,2,2,2,110000.00,0,0,I am a developer by profession,25-34 years old,Remote,Some college/university study without earning a degree,Student,10 to 19 employees,I have some influence,Is set up to be customized and needs to be engineered into a usable product,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",Yes,Very favorable,Neither trust nor distrust,Neither good or bad at handling complex tasks,No,Too long,Easy
399,1,4,3,7,38,30,16,1,2,2,United States of America,"USD	United States dollar",195000.00,5,3,1,6,2,1,NA,NA,2,1,2,195000.00,0,0,I am a developer by profession,45-54 years old,Remote,Some college/university study without earning a degree,"Developer, full-stack","1,000 to 4,999 employees",I have little or no influence,Is set up to be customized and needs to be engineered into a usable product,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat","No, but I plan to soon",Favorable,NA,NA,No,Appropriate in length,Easy
429,1,2,3,2,20,11,22,4,2,1,United States of America,"USD	United States dollar",230000.00,5,3,5,3,3,2,3,3,2,1,3,230000.00,0,NA,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Engineer, site reliability",100 to 499 employees,I have little or no influence,Is ready-to-go but also customizable for growth and targeted use cases,Multiple times per day,Yes,Less than once per month or monthly,"No, not really",Yes,Indifferent,Neither trust nor distrust,Neither good or bad at handling complex tasks,No,Appropriate in length,Neither easy nor difficult
432,1,3,2,2,25,23,16,6,1,1,United States of America,"USD	United States dollar",85000.00,3,3,1,5,1,NA,NA,NA,NA,1,2,85000.00,0,0,I am a developer by profession,35-44 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,I have a great deal of influence,Is ready-to-go but also customizable for growth and targeted use cases,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely","No, and I don't plan to",NA,NA,NA,NA,Appropriate in length,Easy
433,1,3,3,6,20,18,16,2,1,1,United States of America,"USD	United States dollar",160000.00,3,3,5,3,1,NA,NA,NA,NA,NA,2,160000.00,0,0,I am a developer by profession,35-44 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack",10 to 19 employees,I have a great deal of influence,Is ready-to-go but also customizable for growth and targeted use cases,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really","No, and I don't plan to",NA,NA,NA,NA,NA,Easy
441,3,5,3,2,25,23,15,1,2,1,United States of America,"USD	United States dollar",110000.00,1,3,5,3,3,2,5,3,2,1,3,110000.00,0,0,"I am not primarily a developer, but I write code sometimes as part of my work/studies",55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end","1,000 to 4,999 employees",I have little or no influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",Yes,Indifferent,Somewhat trust,Neither good or bad at handling complex tasks,No,Appropriate in length,Neither easy nor difficult
443,3,3,2,3,23,18,23,3,2,1,United States of America,"USD	United States dollar",190000.00,1,3,5,6,2,1,NA,NA,2,1,3,190000.00,0,0,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Engineering manager,"10,000 or more employees",I have little or no influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, somewhat","No, but I plan to soon",Favorable,NA,NA,No,Appropriate in length,Neither easy nor difficult
448,1,4,2,1,10,10,16,4,2,1,United States of America,"USD	United States dollar",115000.00,1,3,4,3,1,NA,NA,NA,NA,2,3,115000.00,0,NA,I am a developer by profession,45-54 years old,In-person,"Associate degree (A.A., A.S., etc.)","Developer, full-stack",100 to 499 employees,I have little or no influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, not really","No, and I don't plan to",NA,NA,NA,NA,Too long,Neither easy nor difficult
457,1,4,1,5,28,18,12,1,2,1,United States of America,"USD	United States dollar",300000.00,3,3,4,6,2,2,NA,NA,2,1,3,300000.00,0,0,I am a developer by profession,45-54 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, back-end","1,000 to 4,999 employees",I have little or no influence,Is ready-to-go but also customizable for growth and targeted use cases,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat","No, but I plan to soon",Indifferent,NA,NA,No,Appropriate in length,Neither easy nor difficult
470,1,4,3,2,30,26,19,3,3,1,United States of America,"USD	United States dollar",140000.00,3,3,2,6,1,NA,NA,NA,NA,1,2,140000.00,0,0,I am a developer by profession,45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, QA or test","10,000 or more employees",I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,Daily or almost daily,Yes,A few times per week,"Yes, somewhat","No, and I don't plan to",NA,NA,NA,NA,Appropriate in length,Easy
478,1,5,3,3,47,40,12,9,2,2,United States of America,"USD	United States dollar",200000.00,5,3,6,5,1,NA,NA,NA,NA,1,1,200000.00,0,0,I am a developer by profession,55-64 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",I don’t know,I have little or no influence,Is set up to be customized and needs to be engineered into a usable product,Multiple times per day,Yes,Multiple times per day,"Yes, definitely","No, and I don't plan to",NA,NA,NA,NA,Appropriate in length,Difficult
486,1,2,3,1,6,4,16,3,2,1,United States of America,"USD	United States dollar",93000.00,2,3,1,6,3,1,4,4,2,1,3,93000.00,0,0,I am a developer by profession,25-34 years old,Remote,"Associate degree (A.A., A.S., etc.)","Developer, full-stack","10,000 or more employees",I have little or no influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",Yes,Favorable,Somewhat distrust,Very poor at handling complex tasks,No,Appropriate in length,Neither easy nor difficult
497,1,3,1,5,19,9,1,2,1,3,United States of America,"USD	United States dollar",100000.00,5,3,3,5,3,3,1,1,2,1,2,100000.00,0,0,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,10 to 19 employees,I have a great deal of influence,Out-of-the-box is ready to go with little need for customization,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",Yes,Unfavorable,Highly distrust,Bad at handling complex tasks,No,Appropriate in length,Easy
499,1,5,3,2,24,22,16,1,1,1,United States of America,"USD	United States dollar",102000.00,3,3,2,6,3,5,5,2,2,1,3,102000.00,0,0,I am a developer by profession,55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","1,000 to 4,999 employees",I have a great deal of influence,Is ready-to-go but also customizable for growth and targeted use cases,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",Yes,Very favorable,Somewhat trust,"Good, but not great at handling complex tasks",No,Appropriate in length,Neither easy nor difficult
511,1,3,3,2,20,11,16,4,3,3,United States of America,"USD	United States dollar",170000.00,2,3,2,6,1,NA,NA,NA,NA,2,3,170000.00,0,0,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,I have some influence,Out-of-the-box is ready to go with little need for customization,A few times per week,Yes,A few times per week,"Yes, somewhat","No, and I don't plan to",NA,NA,NA,NA,Too long,Neither easy nor difficult
516,3,2,3,2,5,1,34,4,3,1,United States of America,"USD	United States dollar",136000.00,4,3,5,3,3,1,3,1,3,1,2,136000.00,0,0,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",System administrator,100 to 499 employees,I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,Less than once per month or monthly,Yes,Less than once per month or monthly,"No, not really",Yes,Favorable,Neither trust nor distrust,Bad at handling complex tasks,Yes,Appropriate in length,Easy
529,1,4,2,2,25,20,16,6,3,1,United States of America,"USD	United States dollar",175000.00,5,3,5,5,3,1,4,1,2,1,3,175000.00,0,1,I am a developer by profession,45-54 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,Multiple times per day,Yes,Less than once per month or monthly,"Yes, definitely",Yes,Favorable,Somewhat distrust,Bad at handling complex tasks,No,Appropriate in length,Neither easy nor difficult
539,1,4,3,6,25,25,13,6,3,1,United States of America,"USD	United States dollar",130000.00,3,3,2,5,1,NA,NA,NA,NA,1,2,130000.00,0,0,I am a developer by profession,45-54 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, desktop or enterprise applications",20 to 99 employees,I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,Daily or almost daily,Yes,A few times per week,"Yes, definitely","No, and I don't plan to",NA,NA,NA,NA,Appropriate in length,Easy
544,3,3,2,3,15,13,29,7,3,1,United States of America,"USD	United States dollar",150000.00,1,3,5,6,3,1,5,2,2,1,2,150000.00,0,0,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Research & Development role,"5,000 to 9,999 employees",I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,Favorable,Somewhat trust,"Good, but not great at handling complex tasks",No,Appropriate in length,Easy
546,1,3,3,6,21,19,12,3,3,2,United States of America,"USD	United States dollar",400000.00,1,3,5,3,1,NA,NA,NA,NA,1,2,400000.00,0,0,I am a developer by profession,35-44 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, back-end","10,000 or more employees",I have some influence,Is set up to be customized and needs to be engineered into a usable product,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really","No, and I don't plan to",NA,NA,NA,NA,Appropriate in length,Easy
550,3,2,3,7,15,9,26,1,2,1,United States of America,"USD	United States dollar",160000.00,1,3,5,2,1,NA,NA,NA,NA,1,2,160000.00,0,0,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,Remote,Some college/university study without earning a degree,Other,"1,000 to 4,999 employees",I have little or no influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not at all","No, and I don't plan to",NA,NA,NA,NA,Appropriate in length,Easy
561,1,2,1,2,11,9,13,5,1,3,United States of America,"USD	United States dollar",100000.00,2,3,1,5,3,1,5,1,2,1,2,100000.00,0,0,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications",2 to 9 employees,I have a great deal of influence,Out-of-the-box is ready to go with little need for customization,A few times per week,Yes,A few times per month or weekly,"Yes, definitely",Yes,Favorable,Somewhat trust,Bad at handling complex tasks,No,Appropriate in length,Easy
